SAY_NAME;Введите ваше имя.
EXCEPTION_ACCOUNT_WITH_TYPE_ALREADY_EXISTS;Счёт данного типа у данного клиента уже существует. id этого счёта:
EXCEPTION_ACCOUNT_WITH_NUMBER_ALREADY_EXISTS;Счёт c данным номером уже существует. Придумайте другой номер счёта.
EXCEPTION_ACCOUNT_FROM_NOT_EXISTS;Не существует счёта, с которого вы хотите сделать перевод.
EXCEPTION_ACCOUNT_TO_NOT_EXISTS;Не существует счёта, на который вы хотите сделать перевод.
EXCEPTION_ACCOUNT_FROM_CLOSED;Cчёт, с которого отправляются деньги, закрыт.
EXCEPTION_ACCOUNT_TO_CLOSED;Cчёт, на который отправляются деньги, закрыт.
EXCEPTION_STATUS_LIMIT;Ваш статус не позволяет вам сделать перевод выше суммы:
EXCEPTION_NOT_ENOUGH_MONEY;На счёте не хватает денег для перевода. Доступно денег:
EXCEPTION_ACCOUNT_NOT_CLOSED;С счёта нельзя снимать деньги до закрытия. Счёт будет закрыт:
EXCEPTION_NEGATIVE_TRANSFER_AMOUNT;Нельзя выполнять переводы на отрицательную сумму.
EXCEPTION_TRANSFER_CAN_NOT_BE_CANCELED;Трансфер нельзя отменить, т.к. он:
DATE_FORMAT;dd.MM.yyyy
EXCEPTION_PERSON_NOT_EXISTS;Вы пытаетесь найти несуществующего человека.
EXCEPTION_CLIENT_NOT_EXISTS;Вы пытаетесь найти несуществующего клиента.
EXCEPTION_BANK_NOT_EXISTS;Вы пытаетесь найти несуществующий банк.
EXCEPTION_ACCOUNT_NOT_EXISTS;Вы пытаетесь найти несуществующий счёт.
EXCEPTION_TARIFF_NOT_EXISTS;Вы пытаетесь найти несуществующий тариф.
EXCEPTION_ACCOUNT_TYPE_NOT_EXISTS;Вы пытаетесь найти несуществующий тип счёта.
EXCEPTION_TRANSFER_NOT_EXISTS;Вы пытаетесь найти несуществующий трансфер.
